run,score,duration_s,gamma,batch_size,epsilon,epsilon_min,epsilon_decay,buffer_size,hidden_sizes,target_update_freq,lr,target_update_freq
1,1.0,114.8,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",1378,0.003531,1378
2,1.0,105.8,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",989,0.005214,989
3,1.0,101.9,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",562,0.002482,562
4,1.0,89.9,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",369,0.008938,369
5,0.5,100.8,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",1491,0.003329,1491
6,1.0,101.2,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",1614,0.00018,1614
7,1.0,96.9,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",1100,0.000796,1100
8,1.0,101.1,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",867,0.007137,867
9,0.0,110.7,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",924,0.00194,924
10,1.0,108.3,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",1680,0.000771,1680
11,1.0,108.4,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",365,0.000285,365
12,1.0,93.1,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",1198,0.000134,1198
13,1.0,112.3,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",698,0.004521,698
14,1.0,109.8,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",1336,0.003282,1336
15,0.0,111.2,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",322,0.000512,322
